stratum,area,areapost,transect,effort,legid,r,size,pos,side,seen,sighting,sfrac,y,bss,cloud,sight,obs,dives,Etype,cuerate,plat
4,12392,12357,4078,0.361388889,102,0.398,1,R,R,1,237,0.5,663,1,0,2,H,1,SD,53,2
4,12392,12357,4079,0.381111111,103,9999,9999,9999,9999,9999,9999,0.5,9999,1,0,3,9999,9999,SD,53,0
4,12392,12357,4080,0.356666667,104,0.182,2,F,L,1,238,0.5,123,1,0,3,P,1,SD,53,1
4,12392,12357,4080,0.356666667,104,9999,9999,R,L,0,238,0.5,9999,1,0,3,K,9999,SD,53,2
4,12392,12357,4080,0.356666667,104,0.174,2,F,L,1,239,0.5,77,1,0,3,P,1,SD,53,1
4,12392,12357,4080,0.356666667,104,9999,9999,R,L,0,239,0.5,9999,1,0,3,K,9999,SD,53,2
4,12392,12357,4080,0.356666667,104,9999,9999,F,L,0,240,0.5,9999,1,0,3,P,9999,SD,53,1
4,12392,12357,4080,0.356666667,104,0.584,2,R,L,1,240,0.5,129,1,0,3,K,1,SD,53,2
4,12392,12357,4081,0.301111111,105,9999,9999,9999,9999,9999,9999,0.5,9999,1,0,2,9999,9999,SD,53,0
4,12392,12357,4082,0.36,105,9999,9999,9999,9999,9999,9999,0.5,9999,1,0,2,9999,9999,SD,53,0
4,12392,12357,4083,0.287222222,106,9999,9999,9999,9999,9999,9999,0.5,9999,1,0,9,9999,9999,SD,53,0
4,12392,12357,4084,0.3925,106,9999,9999,F,R,0,242,0.5,9999,2,1,2,X,9999,SD,53,1
4,12392,12357,4084,0.3925,106,0.107,1,R,R,1,242,0.5,60,2,1,2,K,1,SD,53,2
4,12392,12357,4085,0.359722222,107,9999,9999,9999,9999,9999,9999,0.5,9999,1,0,1,9999,9999,SD,53,0
4,12392,12357,4086,0.177222222,107,9999,9999,9999,9999,9999,9999,0.5,9999,2,9,3,9999,9999,SD,53,0
4,12392,12357,4087,0.184444444,107,9999,9999,F,R,0,246,0.5,9999,2,0,2,X,9999,SD,53,1
