"D" "g0" "sigma" "se.D" "se.g0" "se.sigma" "logLik" "AIC" "maxgrad"
1365.02941578 0.999999991694 9.68236855543 174.89 8.3062e-06 0.63167 -845.867 1697.734 -6.16872e-05
1217.44252721 0.999999990357 10.1217597704 171.16 9.6422e-06 0.73733 -806.347 1618.694 -0.000386386
1136.7630224 0.999999989347 10.1192268725 160.94 1.0653e-05 0.73625 -747.4 1500.8 -4.38516e-06
1399.67196286 0.999999989123 9.75527610044 182.11 1.0878e-05 0.653 -886.705 1779.41 -0.000294599
1407.74085708 0.999999990166 9.13884315877 179.64 9.8343e-06 0.59233 -774.663 1555.326 -2.68501e-05
1406.47466997 0.999999991681 9.48799431102 171.03 8.319e-06 0.57753 -849.788 1705.576 -0.00058942
1398.65380159 0.99999999207 9.51947189469 175.91 7.9298e-06 0.60688 -829.879 1665.758 -7.43927e-06
1503.3483374 0.999999992218 9.48690036449 178.47 7.7821e-06 0.56585 -912.56 1831.12 -6.82062e-06
1324.9588937 0.999999990365 9.26754362695 172.47 9.6346e-06 0.61121 -749.902 1505.804 -8.11491e-06
1097.85506381 0.999999991299 10.5578180833 155.93 8.6995e-06 0.77356 -804.251 1614.502 -9.23979e-05
1589.00190062 0.999999989903 9.26647431405 192.61 1.0097e-05 0.5733 -890.931 1787.862 -1.0998e-05
1406.78617303 0.99999999215 9.93725576372 177.37 7.8499e-06 0.6401 -918.345 1842.69 -1.98182e-07
1299.19628989 0.99999999159 10.1685822574 169.26 8.4099e-06 0.67782 -868.817 1743.634 -0.000276399
1362.00411894 0.99999999222 9.8896429217 170.3 7.7802e-06 0.62594 -852.624 1711.248 -2.15001e-05
897.516264275 0.999999991499 11.3638787375 140.48 8.5009e-06 0.93601 -730.843 1467.686 -1.28789e-06
1437.6791295 0.999999992389 9.29286757303 173.79 7.6114e-06 0.56173 -818.284 1642.568 -7.68539e-06
1454.90420414 0.999999988592 8.81110762099 182.14 1.1408e-05 0.55761 -755.026 1516.052 -8.56952e-05
1320.69839378 0.999999991976 9.7227944219 168.56 8.0267e-06 0.62761 -817.326 1640.652 -5.65579e-05
1718.72242522 0.999999990176 8.02569373494 197.18 9.8245e-06 0.45948 -743.536 1493.072 -0.000444936
1235.16400651 0.99999998751 9.82395518404 170.38 1.249e-05 0.69685 -786.033 1578.066 -0.000179881
1425.04131727 0.999999991743 9.31768766437 171.61 8.2565e-06 0.55936 -821.299 1648.598 -0.000380849
1233.25236544 0.999999991693 10.2537962416 167.42 8.3066e-06 0.71666 -829.277 1664.554 -0.000932763
972.33437134 0.999999990816 10.6832226479 147.19 9.1839e-06 0.83727 -735.837 1477.674 -0.000238285
