"D" "ssb0" "ssb1" "sigmass" "logLik" "AIC" "maxgrad"
1713.07770045 158.965579432 -2.53254959559 9.0579704213 -2211.13 4430.26 -1.12758e-06
1733.00738497 158.373311724 -2.19484021068 8.80504363969 -2864.55 5737.1 -2.9355e-05
1547.77161059 159.967358569 -2.35137733597 8.65199908861 -2401.36 4810.72 -5.53952e-05
1630.13300631 160.144142789 -2.42862564604 9.50329058881 -2553.01 5114.02 -0.00613556
1456.88239629 159.750498798 -2.30761588623 9.35896551828 -2439.5 4887 -2.30234e-05
1666.80196091 160.960682925 -2.35998226937 8.67931381714 -2710.89 5429.78 -1.00144e-05
1701.37751831 159.35959299 -2.40958509825 8.31812648198 -2546.31 5100.62 -7.75195e-05
1673.8556002 159.517760878 -2.46663603272 9.03753197288 -2420.88 4849.76 -6.58507e-05
1686.30671982 160.223114514 -2.50075485709 8.48845832292 -2420.71 4849.42 -2.4489e-05
1705.60350994 159.935621397 -2.45751068624 9.17274792106 -2437.42 4882.84 -0.00132135
1648.38521391 162.82331198 -2.56746012012 9.3110282006 -2557.86 5123.72 -1.50316e-06
1912.70973652 160.524517587 -2.44718418888 9.16879711307 -3044.74 6097.48 -1.14238e-05
1618.51970522 160.386786977 -2.46236120305 9.50683124608 -2426.05 4860.1 -5.89598e-05
1735.06213939 159.923119381 -2.31699185863 9.0446751661 -2811.88 5631.76 -3.97738e-05
1778.01423314 163.390836813 -2.68794882292 9.03603390915 -2674.04 5356.08 -0.00021482
1496.33413572 159.836446664 -2.31900818656 8.79163204486 -2392.6 4793.2 -6.50283e-05
1594.80052591 160.256365885 -2.46702981149 9.18766805021 -2387.18 4782.36 -0.000323322
1656.20469087 159.185622528 -2.25417715991 9.49590121748 -2594.76 5197.52 -2.07708e-05
1350.39283783 158.148852389 -2.22388863436 10.0081614901 -2220.4 4448.8 -0.000123869
1552.45279365 158.683041427 -2.20924268142 8.85686080097 -2571.71 5151.42 -2.70817e-05
1580.46365043 160.186566169 -2.35293069835 9.04624018454 -2582.56 5173.12 -6.21784e-07
1791.24022192 159.446891317 -2.50332284059 8.18436705859 -2418.06 4844.12 -1.263e-05
1654.37952185 160.390351009 -2.33724231846 9.06735833767 -2706.26 5420.52 -8.74599e-05
1842.56423635 161.489181128 -2.66459178865 8.44440787907 -2560.76 5129.52 -4.82189e-06
1569.16623573 159.39808207 -2.25236279983 9.30108768377 -2586 5180 -5.94702e-06
